# Selected Patches for Grad-CAM Visualization
# Format: HUC_ID,PATCH_ID,FILE_PATH,WATER_PERCENTAGE,SELECTION_SCORE
# Generated on 2025-10-07

01030003,patch_1002,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01030003/patch_1002.npz,31.42,97.00
01030003,patch_1006,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01030003/patch_1006.npz,17.71,97.00
01030003,patch_1001,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01030003/patch_1001.npz,55.72,89.00
01050002,patch_1017,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01050002/patch_1017.npz,24.40,97.00
01050002,patch_1073,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01050002/patch_1073.npz,19.35,97.00
01050002,patch_1230,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01050002/patch_1230.npz,53.37,89.00
01050004,patch_1119,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01050004/patch_1119.npz,22.12,97.00
01050004,patch_1120,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01050004/patch_1120.npz,19.04,97.00
01050004,patch_502,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01050004/patch_502.npz,51.04,89.00
01090002,patch_100,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01090002/patch_100.npz,21.63,97.00
01090002,patch_105,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01090002/patch_105.npz,15.84,97.00
01090002,patch_1214,/projects/bcrm/nathanj/data/processed/test/patch_dataset/01090002/patch_1214.npz,54.68,89.00
02020004,patch_1197,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02020004/patch_1197.npz,25.79,98.00
02020004,patch_349,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02020004/patch_349.npz,17.86,98.00
02020004,patch_329,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02020004/patch_329.npz,75.90,82.00
02020006,patch_182,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02020006/patch_182.npz,39.65,98.00
02020006,patch_203,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02020006/patch_203.npz,16.15,98.00
02020006,patch_287,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02020006/patch_287.npz,55.98,90.00
02070004,patch_569,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02070004/patch_569.npz,15.49,98.00
02070004,patch_100,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02070004/patch_100.npz,7.58,90.00
02070004,patch_1000,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02070004/patch_1000.npz,5.57,90.00
02080201,patch_334,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02080201/patch_334.npz,38.23,98.00
02080201,patch_333,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02080201/patch_333.npz,19.69,98.00
02080201,patch_335,/projects/bcrm/nathanj/data/processed/test/patch_dataset/02080201/patch_335.npz,61.02,82.00
03010205,patch_1004,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03010205/patch_1004.npz,28.97,96.00
03010205,patch_1019,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03010205/patch_1019.npz,17.84,96.00
03010205,patch_1046,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03010205/patch_1046.npz,55.50,88.00
03130002,patch_105,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03130002/patch_105.npz,22.49,96.00
03130002,patch_103,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03130002/patch_103.npz,17.18,96.00
03130002,patch_101,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03130002/patch_101.npz,55.52,88.00
03130003,patch_1260,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03130003/patch_1260.npz,22.63,96.00
03130003,patch_1329,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03130003/patch_1329.npz,18.00,96.00
03130003,patch_424,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03130003/patch_424.npz,51.56,88.00
03170009,patch_1067,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03170009/patch_1067.npz,24.78,96.00
03170009,patch_1025,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03170009/patch_1025.npz,16.25,96.00
03170009,patch_1146,/projects/bcrm/nathanj/data/processed/test/patch_dataset/03170009/patch_1146.npz,54.80,88.00
04030202,patch_1287,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04030202/patch_1287.npz,27.16,95.00
04030202,patch_1002,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04030202/patch_1002.npz,18.11,95.00
04030202,patch_1557,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04030202/patch_1557.npz,50.35,87.00
04050001,patch_1013,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04050001/patch_1013.npz,22.43,95.00
04050001,patch_1015,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04050001/patch_1015.npz,15.96,95.00
04050001,patch_1099,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04050001/patch_1099.npz,52.58,87.00
04140201,patch_1001,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04140201/patch_1001.npz,34.72,95.00
04140201,patch_1119,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04140201/patch_1119.npz,15.92,95.00
04140201,patch_1199,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04140201/patch_1199.npz,52.60,87.00
04150200,patch_1057,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04150200/patch_1057.npz,35.31,95.00
04150200,patch_17,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04150200/patch_17.npz,16.65,95.00
04150200,patch_1056,/projects/bcrm/nathanj/data/processed/test/patch_dataset/04150200/patch_1056.npz,59.50,87.00
05060001,patch_1045,/projects/bcrm/nathanj/data/processed/test/patch_dataset/05060001/patch_1045.npz,33.05,92.00
05060001,patch_1044,/projects/bcrm/nathanj/data/processed/test/patch_dataset/05060001/patch_1044.npz,17.31,92.00
05060001,patch_1100,/projects/bcrm/nathanj/data/processed/test/patch_dataset/05060001/patch_1100.npz,58.60,84.00
05100205,patch_1276,/projects/bcrm/nathanj/data/processed/test/patch_dataset/05100205/patch_1276.npz,20.44,92.00
05100205,patch_1339,/projects/bcrm/nathanj/data/processed/test/patch_dataset/05100205/patch_1339.npz,16.19,92.00
05100205,patch_1278,/projects/bcrm/nathanj/data/processed/test/patch_dataset/05100205/patch_1278.npz,20.72,92.00
06030002,patch_11,/projects/bcrm/nathanj/data/processed/test/patch_dataset/06030002/patch_11.npz,22.67,92.00
06030002,patch_1097,/projects/bcrm/nathanj/data/processed/test/patch_dataset/06030002/patch_1097.npz,17.95,92.00
06030002,patch_195,/projects/bcrm/nathanj/data/processed/test/patch_dataset/06030002/patch_195.npz,58.90,84.00
06030005,patch_103,/projects/bcrm/nathanj/data/processed/test/patch_dataset/06030005/patch_103.npz,26.20,92.00
06030005,patch_152,/projects/bcrm/nathanj/data/processed/test/patch_dataset/06030005/patch_152.npz,15.77,92.00
06030005,patch_108,/projects/bcrm/nathanj/data/processed/test/patch_dataset/06030005/patch_108.npz,52.54,84.00
07070002,patch_1308,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07070002/patch_1308.npz,31.98,92.00
07070002,patch_1070,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07070002/patch_1070.npz,16.50,92.00
07070002,patch_602,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07070002/patch_602.npz,56.32,84.00
07070003,patch_101,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07070003/patch_101.npz,20.14,92.00
07070003,patch_1027,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07070003/patch_1027.npz,19.16,92.00
07070003,patch_1321,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07070003/patch_1321.npz,55.22,84.00
07100006,patch_131,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07100006/patch_131.npz,31.51,92.00
07100006,patch_727,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07100006/patch_727.npz,16.82,92.00
07100006,patch_779,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07100006/patch_779.npz,82.38,76.00
07120001,patch_1011,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07120001/patch_1011.npz,25.61,92.00
07120001,patch_1,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07120001/patch_1.npz,18.74,92.00
07120001,patch_1145,/projects/bcrm/nathanj/data/processed/test/patch_dataset/07120001/patch_1145.npz,70.12,76.00
08020203,patch_105,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08020203/patch_105.npz,28.51,92.00
08020203,patch_1124,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08020203/patch_1124.npz,18.07,92.00
08020203,patch_1186,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08020203/patch_1186.npz,58.00,84.00
08030207,patch_10,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08030207/patch_10.npz,21.91,92.00
08030207,patch_1092,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08030207/patch_1092.npz,15.99,92.00
08030207,patch_1373,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08030207/patch_1373.npz,52.57,84.00
08090203,patch_0,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08090203/patch_0.npz,26.16,92.00
08090203,patch_1004,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08090203/patch_1004.npz,19.40,92.00
08090203,patch_106,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08090203/patch_106.npz,59.25,84.00
08090302,patch_1015,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08090302/patch_1015.npz,25.51,92.00
08090302,patch_1063,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08090302/patch_1063.npz,17.14,92.00
08090302,patch_1005,/projects/bcrm/nathanj/data/processed/test/patch_dataset/08090302/patch_1005.npz,55.51,84.00
09020201,patch_1083,/projects/bcrm/nathanj/data/processed/test/patch_dataset/09020201/patch_1083.npz,29.38,92.00
09020201,patch_110,/projects/bcrm/nathanj/data/processed/test/patch_dataset/09020201/patch_110.npz,18.62,92.00
09020201,patch_1196,/projects/bcrm/nathanj/data/processed/test/patch_dataset/09020201/patch_1196.npz,53.68,84.00
10040104,patch_1053,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10040104/patch_1053.npz,28.42,99.00
10040104,patch_1159,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10040104/patch_1159.npz,18.91,99.00
10040104,patch_1017,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10040104/patch_1017.npz,53.94,91.00
10040201,patch_1170,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10040201/patch_1170.npz,23.04,99.00
10040201,patch_11,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10040201/patch_11.npz,16.89,99.00
10040201,patch_1392,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10040201/patch_1392.npz,50.18,91.00
10100001,patch_1003,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10100001/patch_1003.npz,5.27,91.00
10100001,patch_1007,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10100001/patch_1007.npz,6.00,91.00
10100001,patch_1009,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10100001/patch_1009.npz,5.35,91.00
10100004,patch_1450,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10100004/patch_1450.npz,20.30,99.00
10100004,patch_555,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10100004/patch_555.npz,17.02,99.00
10100004,patch_1451,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10100004/patch_1451.npz,20.09,99.00
10160003,patch_1051,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10160003/patch_1051.npz,29.87,99.00
10160003,patch_100,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10160003/patch_100.npz,15.38,99.00
10160003,patch_14,/projects/bcrm/nathanj/data/processed/test/patch_dataset/10160003/patch_14.npz,58.14,91.00
11020009,patch_1164,/projects/bcrm/nathanj/data/processed/test/patch_dataset/11020009/patch_1164.npz,37.96,92.00
11020009,patch_1004,/projects/bcrm/nathanj/data/processed/test/patch_dataset/11020009/patch_1004.npz,19.09,92.00
11020009,patch_1111,/projects/bcrm/nathanj/data/processed/test/patch_dataset/11020009/patch_1111.npz,55.56,84.00
11020010,patch_1228,/projects/bcrm/nathanj/data/processed/test/patch_dataset/11020010/patch_1228.npz,22.22,92.00
11020010,patch_525,/projects/bcrm/nathanj/data/processed/test/patch_dataset/11020010/patch_525.npz,16.93,92.00
11020010,patch_1404,/projects/bcrm/nathanj/data/processed/test/patch_dataset/11020010/patch_1404.npz,25.17,92.00
12030202,patch_1031,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12030202/patch_1031.npz,25.47,92.00
12030202,patch_1026,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12030202/patch_1026.npz,19.69,92.00
12030202,patch_1060,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12030202/patch_1060.npz,58.81,84.00
12050001,patch_377,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12050001/patch_377.npz,27.32,92.00
12050001,patch_731,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12050001/patch_731.npz,18.83,92.00
12050001,patch_400,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12050001/patch_400.npz,37.46,92.00
12060201,patch_1007,/projects/bcrm/nathanj/data/processed/test/patch_dataset/12060201/patch_1007.npz,25.95,92.00
